k,metric,kappa,mcc,accuracy
13,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
7,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
9,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
4,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
10,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
5,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
15,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
3,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
6,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
11,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
12,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
14,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
2,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
1,euclidean,0.9665924276169264,0.9673116176179397,0.9777777777777777
8,euclidean,0.9333333333333332,0.9361080170496191,0.9555555555555556
