k,metric,kappa,mcc,accuracy
8,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
3,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
5,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
2,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
7,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
10,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
4,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
9,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
1,manhattan,0.9665924276169264,0.9673116176179397,0.9777777777777777
12,manhattan,0.9333333333333332,0.9361080170496191,0.9555555555555556
6,manhattan,0.9333333333333332,0.9361080170496191,0.9555555555555556
11,manhattan,0.9333333333333332,0.9361080170496191,0.9555555555555556
14,manhattan,0.9333333333333332,0.9361080170496191,0.9555555555555556
15,manhattan,0.9333333333333332,0.9361080170496191,0.9555555555555556
13,manhattan,0.9333333333333332,0.9361080170496191,0.9555555555555556
