vars,importance
rm,1.3832310453542689
chas,0.3846674322920127
rad,0.3697238002007228
zn,0.05778196417719924
age,0.012925702145975593
black,0.011621283571712876
indus,0.004296184605311984
ID,-0.002269139274071281
tax,-0.016673829625451803
crim,-0.049041726989618964
nox,-0.06800806864610484
ptratio,-0.7579591504170874
lstat,-0.7888725000106315
dis,-0.984478760041314
